Dates,Within 6 Months,Within 12 Months,Within 24 Months,Recession
date,number,number,number,number
1982-07-01,0.5010029074437093,0.5246776768558424,0.6448816891781531,100
1982-08-01,0.4444927433804574,0.4656842636172352,0.5917047242351632,100
1982-09-01,0.40973802338450194,0.42743762078613906,0.5665074085692167,100
1982-10-01,0.3752637814065913,0.39039910623866686,0.5438021444344245,100
1982-11-01,0.3665999950676455,0.37910111145147957,0.5474896466036543,100
1982-12-01,0.3154555967466922,0.323464349155897,0.4871773448502206,-1
1983-01-01,0.2760273235206909,0.2821188050504481,0.4480632652066689,-1
1983-02-01,0.2698731044707076,0.2792924464213852,0.4630274128884274,-1
1983-03-01,0.2626181497077074,0.2741243431480837,0.4718267962211708,-1
1983-04-01,0.2444699239535542,0.2577514617755874,0.46453727434112285,-1
1983-05-01,0.23469306717415034,0.25042069358464547,0.4654233686976803,-1
1983-06-01,0.22399097777633384,0.2441271793630673,0.46716147925135726,-1
1983-07-01,0.2175478069863569,0.24243932452463543,0.4727036463457035,-1
1983-08-01,0.17449951118481427,0.1987968994331965,0.40069873115520005,-1
1983-09-01,0.13916811133437124,0.16249617405627848,0.3461009248832628,-1
1983-10-01,0.11100562729356396,0.1332024636585927,0.30094328611212956,-1
1983-11-01,0.08915939734056315,0.11662323389630717,0.2950507438977074,-1
1983-12-01,0.07200250619677087,0.10556868000649826,0.30490679455791214,-1
1984-01-01,0.06129752224762776,0.11663794296570595,0.3473561515261651,-1
1984-02-01,0.053386757759150825,0.12823227370198875,0.38390815949067314,-1
1984-03-01,0.04831413327857419,0.14649177823625364,0.42448751045514166,-1
1984-04-01,0.06015512226491887,0.21136976858949919,0.4952427593611378,-1
1984-05-01,0.09312087613418692,0.2942246835859951,0.5661920566043885,-1
1984-06-01,0.151997648229881,0.374965294440714,0.6274962455464432,-1
1984-07-01,0.172067915921134,0.41575528724587363,0.6660748965054298,-1
1984-08-01,0.1573811964448748,0.4126823521215194,0.6793354768101438,-1
